user_id,doc_id,rating
user_001,doc_0012,4
user_001,doc_0011,4
user_001,doc_0014,4
user_001,doc_0009,3
user_001,doc_0013,3
user_001,doc_0015,4
user_001,doc_0016,3
user_001,doc_0010,4
user_001,doc_0047,3
user_001,doc_0046,2
user_002,doc_0031,4
user_002,doc_0028,5
user_002,doc_0026,4
user_002,doc_0020,5
user_002,doc_0021,5
user_002,doc_0030,3
user_002,doc_0039,2
user_002,doc_0015,1
user_003,doc_0017,4
user_003,doc_0009,4
user_003,doc_0011,5
user_003,doc_0016,5
user_003,doc_0021,5
user_003,doc_0015,5
user_003,doc_0019,4
user_003,doc_0018,5
user_003,doc_0013,5
user_003,doc_0036,2
user_003,doc_0050,2
user_004,doc_0021,5
user_004,doc_0020,5
user_004,doc_0026,5
user_004,doc_0024,4
user_004,doc_0025,4
user_004,doc_0019,3
user_004,doc_0022,5
user_004,doc_0029,2
user_004,doc_0012,3
user_004,doc_0050,3
user_004,doc_0011,3
user_005,doc_0035,3
user_005,doc_0031,5
user_005,doc_0032,4
user_005,doc_0034,4
user_005,doc_0030,4
user_005,doc_0033,4
user_005,doc_0028,4
user_005,doc_0050,3
user_005,doc_0017,1
user_006,doc_0044,5
user_006,doc_0036,4
user_006,doc_0039,5
user_006,doc_0019,3
user_006,doc_0026,4
user_006,doc_0021,3
user_006,doc_0040,4
user_006,doc_0023,5
user_006,doc_0041,3
user_006,doc_0016,2
user_006,doc_0027,2
user_006,doc_0000,2
user_006,doc_0046,2
user_007,doc_0018,3
user_007,doc_0019,4
user_007,doc_0020,4
user_007,doc_0024,5
user_007,doc_0025,3
user_007,doc_0026,4
user_007,doc_0021,5
user_007,doc_0023,3
user_007,doc_0014,3
user_007,doc_0040,2
user_007,doc_0013,2
user_008,doc_0032,4
user_008,doc_0039,4
user_008,doc_0043,4
user_008,doc_0034,5
user_008,doc_0037,4
user_008,doc_0041,3
user_008,doc_0036,4
user_008,doc_0027,5
user_008,doc_0044,5
user_008,doc_0050,2
user_008,doc_0009,2
user_008,doc_0013,3
user_008,doc_0012,2
user_009,doc_0049,4
user_009,doc_0047,5
user_009,doc_0053,5
user_009,doc_0042,4
user_009,doc_0043,4
user_009,doc_0052,4
user_009,doc_0012,2
user_009,doc_0015,3
user_010,doc_0043,4
user_010,doc_0039,4
user_010,doc_0042,4
user_010,doc_0036,5
user_010,doc_0044,5
user_010,doc_0041,5
user_010,doc_0040,4
user_010,doc_0005,3
user_010,doc_0025,1
user_010,doc_0009,2
user_011,doc_0036,4
user_011,doc_0040,4
user_011,doc_0042,3
user_011,doc_0011,5
user_011,doc_0012,3
user_011,doc_0013,3
user_011,doc_0043,4
user_011,doc_0009,4
user_011,doc_0007,1
user_011,doc_0048,2
user_011,doc_0020,1
user_012,doc_0001,3
user_012,doc_0003,5
user_012,doc_0004,5
user_012,doc_0006,4
user_012,doc_0000,5
user_012,doc_0005,4
user_012,doc_0008,5
user_012,doc_0024,3
user_012,doc_0019,2
user_012,doc_0018,2
user_013,doc_0030,5
user_013,doc_0029,5
user_013,doc_0033,4
user_013,doc_0035,5
user_013,doc_0031,3
user_013,doc_0016,5
user_013,doc_0022,1
user_013,doc_0049,2
user_013,doc_0042,1
user_014,doc_0035,5
user_014,doc_0029,3
user_014,doc_0034,5
user_014,doc_0033,5
user_014,doc_0031,4
user_014,doc_0028,4
user_014,doc_0039,3
user_014,doc_0049,2
user_015,doc_0013,4
user_015,doc_0011,3
user_015,doc_0014,4
user_015,doc_0012,5
user_015,doc_0017,3
user_015,doc_0015,3
user_015,doc_0016,4
user_015,doc_0009,5
user_015,doc_0052,2
user_015,doc_0049,1
user_016,doc_0034,4
user_016,doc_0030,5
user_016,doc_0011,4
user_016,doc_0012,4
user_016,doc_0035,5
user_016,doc_0033,5
user_016,doc_0009,4
user_016,doc_0029,5
user_016,doc_0042,2
user_016,doc_0037,1
user_017,doc_0041,5
user_017,doc_0038,5
user_017,doc_0036,5
user_017,doc_0040,4
user_017,doc_0039,5
user_017,doc_0012,5
user_017,doc_0044,3
user_017,doc_0046,3
user_017,doc_0030,2
user_018,doc_0013,3
user_018,doc_0009,4
user_018,doc_0016,5
user_018,doc_0017,3
user_018,doc_0012,4
user_018,doc_0011,5
user_018,doc_0014,4
user_018,doc_0010,5
user_018,doc_0018,1
user_018,doc_0002,2
user_019,doc_0010,4
user_019,doc_0039,5
user_019,doc_0009,5
user_019,doc_0044,4
user_019,doc_0040,3
user_019,doc_0017,3
user_019,doc_0042,5
user_019,doc_0041,5
user_019,doc_0025,1
user_019,doc_0018,2
user_019,doc_0008,2
user_019,doc_0053,2
user_020,doc_0005,3
user_020,doc_0008,5
user_020,doc_0024,4
user_020,doc_0026,4
user_020,doc_0025,5
user_020,doc_0003,4
user_020,doc_0002,4
user_020,doc_0020,4
user_020,doc_0014,1
user_020,doc_0027,1
user_020,doc_0041,2
